,content,score
767,Good,5
768,Good luck with njxx,5
769,Not working properly Need to fix the error in the app Only showing black screen,1
770,Best sports app,5
771,Good,5
772,I am so happy,5
773,Its interesting and vry good app for cricket lover,5
774,Very good app 👍👍👍,5
775,Good app,5
776,Fantastic,5
777,It's best due to Vikrant ji And Rahul Rawat ji,5
778,Superb app,5
779,Good,5
780,Just awesome,5
781,Needs more improvement,3
782,I'll give you 5 star but i can't try this app because of my recharge is finish and I could not try this app,5
783,Still no content available,5
784,nice app,1
785,My favourite app,5
786,Sports yaari ko firse combine kr lo apne sath,5
787,Very nice app,5
788,Good app but today's match result is not updated.,4
789,Good,5
790,Very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very nyc app for sports #thanksyousportstak,5
791,Love sports tak and love this app too,5
792,Very worst app dont download this....,1
793,bahut hi sundar aap,5
794,Nice,5
795,Not bed,5
796,Good,5
797,Good app,5
798,Good apps for sportsman,5
799,Great initiative by Sportstak team. Here due to Vikrant ji,5
800,Best app ever seen Biggest sports environment,5
801,Vikrant sir big fan of your analysis,5
802,Good app,5
803,Nice,5
804,Achha nahi laga,1
805,excellent,5
806,"Very laggy app, takes too much time to load content, not much user friendly. Needs a lot more improvement.",2
807,Not user friendly to follow live score and commentary is not attractive,1
808,YouTube videos are embedded here. User interface is extremely ugly,1
809,best sports app ever,5
810,ये तो टट्टी है bc,1
811,Good,4
812,"Never seen such a bad cricket app - why do they have to try something in which they aren't good! YouTube channel wasn't enough so they have come up with this mess! Look at Cricbuzz, cricinfo, Fancode and just compate your app with them- you will realise how bad your application is.",1
813,Not working,1
814,App looks good but it's taking to much time to load .very slow in loading,5
815,Very slow.. Cricbuzz is the best app ever,1
816,need to improve,2
817,Very bad app no scoring board very bad to use,1
818,Aap is good but little bit slow please improve and Love u Vikrant Sir aapki wajah se ye aap mai install kiya Score home mai dikhna chahiye,4
819,Nice,4
820,ऐप मे कुछ ज्यादा खास नही हैं और ऐप बहुत धीरें काम कर रहा है,3
821,👌👌👌👌👌👌,5
822,"Waiting for tooo long for this app , thnx vikrant sir for this app for us . Super duper app 24*7 sports report. ❤🇮🇳",5
823,Excellent,5
824,Excellent 👌,5
825,Nothing special,3
826,bad user interface,3
827,Great aap,4
828,Superr aap.. sir..,4
829,"App is hanging and needs a little more data for ligue 1, bundesliga, serie a and other sports",3
830,Excellent,5
831,Worst app i seen,1
832,Awesome 👌,5
833,Great apps all sports information in just one click away best of luck sports tak team,5
834,Tatttiiiiii,1
835,I am giving Bad rating because of that Takla and sports tak team hate against kohli (Except Rashika),1
836,Need improvement in this app,2
837,Great app 👍🏻,5
838,Geart,5
839,"यदि संभव हुआ तो इसमें मौसम की जानकारी भी मिलनी चाहिए मैच के दौरान, जो किसी और app में नही मिलती । हमे ये पता ही नही होता कि जहा मैच होगा वहा बारिश की क्या संभावना है। या मैच के बीच बीच मे।",4
840,Love the app,5
841,Totally Bakwas app,1
842,Very bad appp,1
843,Very very NYC ha j,5
844,"Uninstalled Poor, Slow, damn damn slow Not recommended",1
845,Nice app haii,5
846,Super App,5
847,Mst hai,5
848,Great stuff,5
849,USER INTERFACE IS GOOD,5
850,Bohot jabardast hai,5
851,Awesome app,5
852,Beautiful,5
853,Despite good net connection it take too much time to open,1
854,Does not respond does not open properly bugs problem,1
855,"Fantastic App For sports lover💛 Easy to Use, More Information, 24/7 sports update Some little update need that smooth scrolling, smooth control, notification🔔icon For Live or Update, Choose your match update🔔, need colourful graphic, voice reading buzz, new update at front of app openning or home page....",5
856,VIKARANT .RAHUL SIR BAHUT ACHI APP HE LIVE SCORE NOTIFICATION BI HO TO BAHUT ACHA HOGA,5
857,Very good applocation For sports news,4
858,Super 👌,5
859,Nice,5
860,Bestest app i have ever seen,5
861,Good app . All news one place.,5
862,Worst app.... Learn something from cricbuzz and cricket exchange...,1
863,Very very bad UI of app,1
864,Overall a good sports app,4
865,Very useful,5
866,"Its only because of Vikrant sir,Anil Sir,and Rahul Sir",5
867,Scorling problem,4
868,Nice sports app,5
869,Excellent 😊👌,5
870,Finally a good challenger for Cricbuzz 👍,5
871,Good,5
872,Not much satisfaction Need more Improvements. So far flop.,2
873,It's our favourite 😉,5
874,Very good app,5
875,I like to see statistics before every match,5
876,Worst app. Nothing for users.,1
877,Improve user experience and language segregation please.,1
878,Super,5
879,Great initiative.....,5
880,Nice App,5
881,Not that good,4
882,App should be little more smooth and football data are not loaded till now,4
883,Great aap,5
884,Unistalled after a min,1
885,Great app👍🙏❤️❤️❤️❤️🏏⚽🏸🥅🏑🥊,5
886,Super app all in one sports app,5
887,Very slow and bad app. I recommend you to download cricbuzz in place of this.,1
888,Bakwaaaas,1
889,Nice app,5
890,Bahut badhiya,5
891,Nice app,5
892,Family needs no clarification.,5
893,Great app,5
894,Nice app,5
895,"Very bad performance, totally disgrace",1
896,"One of the worst sports app.. Learn something from Cricbuz app..Didn't like the app at all.. Very next min straight away deleted it.. There is no zero ⭐ for rating, other wise I could have given 0 ⭐",1
897,Fantastic Aap,5
898,bugs,1
899,Good,5
900,Kuchh bhi nahin hai se app mein samajh mein nahin aate yaar kyon banaya hai is app ko Jo kuchh bhi information is app main hai yah sab information to cricbuzz Cricinfo mein mil jayegi ismein naya kya hai,1
901,Just awesome,5
902,All sports informations at one click,5
903,I Am so happy vikarnt sir,5
904,Very nice app,5
905,Ismei toh itne bhi features nahi hai jitne ki cricbuzz mai hai cricketer ki overall performance bas ismein kuch cricbuzz se bhi badhiya rahta toh thek rahta aur kam bhi sahi se nahi kar raha hai cricbuzz bahut hi smooth chlta hai bahut si pareshani hai iss aap ke sath sayad aage chal kar aur bhi features aye.,1
906,Best app,5
907,Amazing app vikrant pajji,5
908,Very nice app,5
909,Beautiful app but needed more improvement into crash of application and design improvement thanks 😊,5
910,Finaly we can say all in one platform....,5
911,Look good this app,4
912,"Wow, we can see many sports events in one platform",5
913,Nice App,5
914,Just wow... always a Vicky paji fan,5
915,Congratulations sports teams l,5
916,"Superb, excellent app for all sports activities information, thanks 👍",5
917,Very poor experience Very slow app as compare to cricbuzz or espn cricinfo Use interference is also hard Not easy to use No stats of players like Cricbuzz,1
918,Good,3
919,It's Amazing,5
920,Outstanding,5
921,Very GuD,5
922,Best because Vikrant gupta is there,5
923,Find some good developers for ui and ux. This app is look like made by 10th student. Ugly UI & UX Low Performance app,1
924,Sports Tak Team ko meri taraf se bahot sari Shubhkamnaye 😇 Excellent App SPORTS TAK Thank You Vikrant Sir and aapki team Ko bhi .,5
925,App is very good,5
926,Wow amazing app,1
927,First time am given 4 star .. for this app only...💞💞💞,4
928,nice app,5
929,Great app,5
930,Nothing is open,1
931,Too much slow loading.. But I love Sports Tak so giving 5 stars.. Work on it...,5
932,Waah ...👍👌,5
933,Great sir,5
934,Love it,5
935,Good to,5
936,Vry nyc app,5
937,Very slow,1
938,Very good aap,5
939,Best sports news YouTube channel+ app,5
940,Very good app,5
941,Best sports app for fastest news,5
942,Vicky Paji🔥🔥❤️,5
943,Good app,5
944,Awesome app it is,5
945,Good app 👍,5
946,Theek thak hai,5
947,Great,5
948,Good,5
949,Good app,5
950,Add q&a section. Instead of instagram we want to ask questions here. Add WWE like sports as well.,5
951,All in One 🤘 Thank You Sports Tak 🙏🏻,5
952,Very good,5
953,Every Match k highlights vala options mst h....,5
954,Good 👍app,5
955,Fantastic app,4
956,Mast,5
957,Best app,5
958,Nice,5
959,It is good but only two language available here,4
960,Good,5
961,Poor app this app waste time,1
962,Thanks India Today group,4
963,Grear app.... Thanks vikrant bhai for creating this app,5
964,App is vary good butt scrolling is slow so update app and add some features like live streaming app is successful 👍🏻,3
965,Its awam superb,5
966,Wonderful app. This is dream for every sports lovers.,5
967,Fantastic work.,5
968,Great app👍,5
969,Ek n app,5
970,Wroast app i feel like i use browser,1
971,Awesome app👌👌👌,5
972,super sir ji,5
973,All in one SPORTS TAK ❤️,5
974,Awesome,5
975,Great app,5
976,Very nice sports app nd it have everything that one sports app must have 👍🏻,5
977,Good,5
978,Good,5
979,Good app all information... Thanks Vikrant sir..,5
980,Good,5
981,Overall app is good great work sports tak family members,5
982,Trashe. ..,1
983,Great app 👍 .All you need as a sports fan is this app.,5
984,Amazing app,5
985,Apna experience 1month Pr dunga Abhi k liye 3star,3
986,Love u sports tak,5
987,Not opend,1
988,Best app in sports,5
989,Great unbelievable,5
990,Nice aap,5
991,Only for vikrant sir.,5
992,no 1 sports app,5
993,Best app op app sports tak 😷,5
994,Much needed app,5
995,Op,5
996,Mast he boss,5
997,Absolutely amazing ...thank u sports tak ..I loved it 😍,5
998,Right now it's working perfectly fine. I must say it's a very good app. In a single app I can access the multiple sports.,4
999,Super app,5
1000,Working very slow.. looks likes giving 1 out of 5 is too much,1
1001,Bekar h app bilkul,1
1002,Amazing app,5
1003,Great app for sports and all stats and records are there..... All In One👌❣️🔥,4
1004,Good,5
1005,Super duper app...... I really like this app,5
1006,Vikrant bhai koi achha vala developer dhundho aur fir se app banao..yeh kya banaya hai .home made app lagta hai ..,1
1007,Great 👍,5
1008,Awesome Vikrant Sir & Team,5
1009,Too good 😍,5
1010,Good aap and vikrant sir very good,5
1011,Great app,5
1012,Good app,5
1013,Aap very very slow .....not a good,1
1014,Love To Sports Tak Family,5
1015,Not work properly,1
1016,"Worst app, content not reflected",1
1017,Great app for sports lover,5
1018,😍😍😍,5
1019,Not open yet just blank,1
1020,Veldone,5
1021,nice,5
1022,Nice aap,5
1023,Home screen pe kuch bhi show nahi kar raha hai dobara kam karo,1
1024,"after open app all page blank seeing no updates, So Bad",1
1025,Very slow working,3
1026,Good for hard-core sports lovers,5
1027,abhi thoda chalo Charan raha hai lekin Tumhen Dinon bad Achcha Ho Jayega Aaj Tak sports tak bolna hai bahut badhiya hai sach,5
1028,Good,5
1029,Kuch open hi nahi ho rha h app m,1
1030,The worst app I've ever seen. Doesn't works properly. It's really sucks.,1
1031,Overall best app in sports,5
1032,nice,5
1033,It is not working,1
1034,Mast,5
1035,Super,5
1036,Very good sir,5
1037,Worst app of the millenium..,1
1038,Not working since I have installed it. Poor,1
1039,Bahut hi bekar kuch chl hi nhi rha app me 😐😐😐😐delete maar rha ap ko dimag khrab kr diya,1
1040,"All Sports news in here, (very good apps)",5
1041,Very good,5
1042,Amazing sports app. Great job vikrant paaji & team.,5
1043,Super app easy to use no buffering,5
1044,Not good,1
1045,Nice channel 👍👍 But scrolling is tough when we do it get click,5
1046,Ok,5
1047,Best sports app,5
1048,Good,5
1049,Nice,5
1050,Overall a Great app and nice display. And the best thing is that easy to use and covers all sports. Amazing and Congrats Sports Tak for this❤️,5
1051,There is one thing missing that there no option to change quality... Please add this option.. Overall this is very fantastic app.. 🥰😍,5
1052,Nice aap,5
1053,It's not a good app because many reason.cricbuzz best app ever ..,1
1054,It's fantastic app. And new version,5
1055,"Great app very informative and easy to use without any ads etc. Thank you vikrant sir,rahul sir and all the sports tak team.",5
1056,Amazing,5
1057,Very slow... Need improvement,2
1058,Download hi nhi ho rha hai,1
1059,Very good,5
1060,"App running very slowly, lots of glitches, worst app, cricbuzz and ESPNcricinfo is far far better than this one.",1
1061,I have to say this app has some extra feature as compared to cricbuzz which gives it edge ahead from them. Good gift from Vikrant sir and teams for sports lover! Thanku😍,5
1062,Indian app and no indian football news ? 😂,1
1063,Behtreen 😍,5
1064,"It's Good to have our own app finally on our smartphones... Gr8 initiative guys.. Thanks Vikrant Sir, AajTak, India Today & Last But Not The least #Sportstak Family...!!",5
1065,More power to sports tak,5
1066,"Great app with all sports scores and summary at one place, even football!!! Great job done guys!",5
1067,U forced me to uninstall Cricbuzz app. Well done guys,5
1068,AMZING,5
1069,Great sports app,5
1070,Great app for sports lovers,5
1071,Honest opinion...App UI is well designed and content is quite good...But quite slow UI and takes too much time to load a page...Do this improvement and it will be a gem.,3
1072,"Please add Bundesliga, Ligue 1 and Serie A. Otherwise app is pretty good.",4
1073,Nice but have to improve with time,4
1074,Rubbish,1
1075,It's very exciting to use. thanks a lot sports tak. Our best wishes always on your side,5
1076,Wow,5
1077,Nice app,5
1078,Vikrant sir nd all team members of sports tak thnk so much for this app,5
1079,"overall good aap but some improvement required like video's buffer loading timing, interface improvement required but overall new app good",4
1080,Good app like cricbuzz..,5
1081,Nice app. but some videos have sound issue.,4
1082,Vikki paaji please change icons colours that used in app to green or blue instead of red... And also use double background theme like dark and bright background theme colour....,4
1083,It works very well,5
1084,Wonderful job vikrant sir,5
1085,Great app. Match highlights feature is astounding.,5
1086,Shaandar Shovaniya Sports tak .... Love u Vikrant paaji,5
1087,"Thank your for providing a place where we can have information about all sports and appreciate your efforts for your app idea and concept but definitely I also agreed with others that it's a early call to launch this application because of slowness, app size, not considered better user experience, sometimes it's crash, automatically closed down and many more issue not considered, it will require lots of testing, need better design and user experience improvement. Expected improvement soon.",1
1088,Great 🙌 app but some glitches... So improve that...,4
1089,Amazing Thank you Vikki paji for this aap,5
1090,Nice,5
1091,Mohd rahil,5
1092,Good,3
1093,Ekdam bole to jhakkas,5
1094,It is the best SPORTS App covering all SPORTS not just Cricket and with video highlights for the same as well..,5
1095,Bahut hi use full app hai,5
1096,Best app vikrant sir,5
1097,Amazing app. I was eagerly waiting for such a 360 degree app. Hats off to whole sports tak team for launching such an amazing and brilliant app. I would recommend everyone to download this app,5
1098,awesome 👌👌👌👍,3
1099,Super,5
1100,Very good,5
1101,Best Sports App,5
1102,This Aap is good love you vikrant sir,5
1103,Jai Sri ram,5
1104,Very slow,1
1105,Very Great work by SPORTS TAK Team Love u sports tak 🤩❤️,5
1106,Still Has To Some Improvement With new Updates..,5
1107,Good app time to improve but overall good 👍,5
1108,Superbe...very happy ....thanks Sports tak team...,5
1109,Serious lagging issues,3
1110,"99% time to cricket, on rest for others. Sponcerd by bcci",1
1111,Yes right now app is low but i know vikrant bhai you will make it best of India app keep going just wait for the good ball and hit a six 😋,5
1112,Very good aap,5
1113,Nice and Very beutiful app💫🙏,5
1114,Very slow,1
1115,Good app,5
1116,Very slow now,4
1117,What a joke? It's a blank app.,1
1118,Osm app,5
1119,Great app sports thanks to all sports family,5
1120,app is much slower .. make it faster viewing experience ..,1
1121,Verry slow app Yaaar kuch achha lao kya laye ho ye itna slow app wtf,1
1122,Just copy of Cricbuzz .. good try,3
1123,Need updates as it doesn't run smoothly.,3
1124,It's totally not working....I have uninstalled this worst app...I think Wasn't a problem even for a while but the app should have been improved further. It's not working at all,1
1125,Sports tak app awesome 👌 Vikrant sir your great man,5
1126,Outstanding... Power of Indian,5
1127,Best sports app..,5
1128,Good app to experiences,5
1129,Great app...appreciated,5
1130,I'm sport lover... One of the best sport app I have ever used... Thank you vikrant sir,5
1131,Great app.. All the best vikrant sir,5
1132,App not working. Only blank screen coming.plzz resolve this issue,1
1133,Good,4
1134,Verry good plat farm,5
1135,"It's not working , not happy with the app. Uninstalling it",1
1136,Great app Aaj Tak maine yesa sports channel nahi dekha hai jo ki sabhi variety samil ho jay ho vikrant sir 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5
1137,Thanks you vikrant sir,5
1138,Excellent and extentional information,5
1139,Osm appp,5
1140,❤,5
1141,Very bad app,1
1142,Very nice app,5
1143,I m big Fan of Sports Tak and Vikrant Sir..am one of the first 1k subscribers of sports tak on youtube,5
1144,Uninstall please Don't install it,1
1145,App look good but not showing home screen and heavy scrolling please fixed this,2
1146,Good,5
1147,thank you vikrant sir and all teem,5
1148,Congratulations vikrat sir... Also A big...very very thanku for this app. I am very big fan of you.. Love you.. 🥰,5
1149,This is very good aap TQ all sports Tak family tq Vikrant ji,5
1150,Fabulous and amazing application good work devloper this application so proud #sportakteam and vikki paji and anil sir aur rahul bhai rashika and gagan sir,5
1151,Nothing Coming in screen,1
1152,I love sports tak family,1
1153,Love u sports tak,5
1154,Vikrant sir ka video nhi h maza nhi aa reha h eshs leVikrantg reha India wc20 khelne gya h lekin Virat ko lejana bhool gya h,1
1155,Great app,5
1156,Very very slow... Buzz and video opening very slow even after very good net speed,2
1157,Good 👍,5
1158,"Pathetic app, nothing is getting displayed on home screen. Why you guys have not properly tested it before launching? So much to improve. I'm giving 1 rating as of now, hoping to see improvement.",1
1159,Wow,5
1160,"Nothing is coming on home screen. Video, Buzz etc section , all are just fetching and loading always. Home screen just black, no news come on home screen. So, Vikrant sir, please fix it hurry.",1
1161,app is not working and the hype created about this is totally fake,1
1162,Too slow,1
1163,Nyc app good work ☺😊,5
1164,I like this app. but same problem not open why?,5
1165,Very slow,1
1166,❤ Sports Tak ❤ Love you all Sports Tak team mambers,5
1167,👎👎👎👎👎👎,1
1168,Not Working,1
1169,Very good,5
1170,विक्रांत सर राहुल भैया राशिका दी सभी पूरी टीम बहुत मेहनत करते है हमारे लिए sports तक पर Love you all😊🤘,5
1171,Best spots news,5
1172,Suppep,5
1173,This is going to be game changing app in sports history. Love the app thanks team sports tak.,5
1174,App review : Start hone se pehle hi dah gaya,1
1175,That's superb,5
1176,Very Good App And Well Maintained Here is Full Match Highlights and Live score and video,5
1177,"[18-09-2021] : No feed, nothing showing in home screen after opening the application although my internet is working fine. No issues with my internet. Not available in English version only showing feeds in Hindi.",2
1178,Congratulations Sports Tak Keep it up God bless you 🙂👍🏻,5
1179,I am a big fan of sport tak but app is not good permoming please update issue glitche. Performance is very poor. In English language app is not get data.,2
1180,Superb.. thank you vikrat sir,5
1181,Faltu app hai,1
1182,It's amazing,5
1183,Very slow app Disappointed,1
1184,Thora slow h but bhut achha h,5
1185,Take lots of time to load,1
1186,Superb quality,5
1187,Best app,5
1188,"Some bugs and app loading so much time,plz clear it,",2
1189,Great app 👌,5
1190,This app speed is very slow please this app need speed optimization,2
1191,Its very slow.,1
1192,विक्रांत सर 😍💥🙏❤️❤️🙏,5
1193,"Sir, app abhi nhi chal rha h",5
1194,Not opening app very slow,1
1195,Good application,5
1196,Thanks sir ❤️,5
1197,Very good App,5
1198,Very show in english version,2
1199,Excited app for sport tak tream,5
1200,Great app for the scores,5
1201,Nyc app vikrant sir,5
1202,Fantastic,5
1203,Useless...,1
1204,Good,5
1205,Nice,5
1206,Unresponsive app. Takes ages to load. Not worth it. They should have tested it better. They simply can't handle these many users. Kya Viki Paai expected better from you. But aapko apni bakwass se toh phursat mile.,1
1207,THANK YOU SIR BEST APP IN INDIA,5
1208,Nice app,5
1209,Good app,5
1210,Verry nice App,5
1211,Saddique,5
1212,Good,5
1213,Good,1
1214,Not working properly.....,3
1215,The loading time of contents after opening of app can be more fast I guess and the UI can be more attractive....rest is good,4
1216,Low process,1
1217,This app is very good,5
1218,Nothing is coming on the home screen....it looks like app launched in hurry....so many glitches. Very disappointed,1
1219,Fantastic app 👌,5
1220,Good aap #sportstak,5
1221,Good👍,5
1222,Too much slow,1
1223,It's a very unique sports news platform...,5
1224,Doesn't load up any information in the English version of app..,1
1225,Fantastic app,5
1226,"Kuch bhi open nhi hota, loading hi nhi le pata",1
1227,Best app,5
1228,Very nice,5
1229,Best,5
1230,Bekar App..App chalu hone mai hi 10 min lg ja rhe,1
1231,Vikrant sir superb sir,5
1232,Pls fix it the app is black and buffering no videos no post,1
1233,I have just installed the app. But not working properly,1
1234,Kuch show nhi ho rha h,5
1235,Bad,1
1236,"Fantastic App... कोई नहीं दूर-दूर तक, आजतक+Sportsतक सबसे तेज़.... 👌👌👌👌👌👌👌👌👌👌👌",5
1237,very nice sports application,4
1238,This application is very good.But scrolling is very lousy...So I give you 1 🌟..If you solve this problem then I give 5 🔯,1
1239,Best,5
1240,Fix the bug immediately,1
1241,Very good app.,5
1242,"This application not loaded home page, not loaded video page, not loaded schedule page, not loading scrore card page . please fix the problem. now app is big problem & not good app now",1
1243,Can't evn open the homepage of this application....waited for 5mins,1
1244,Love u all.. Sports tak is the best.. Love u so much vikrant sir and rahul sir and aal team Members. Respect for your work,5
1245,Grt Work Sports Tak Team. (Ab Aayega Or Mazaaaa),5
1246,App is not working properly. Failed to load anything on home page.,3
1247,So sweet 👌,5
1248,Good,5
1249,Very slow,2
1250,Very nice This is a amazing app It's really helpful.,5
1251,Nice,5
1252,Very slow please improve it,2
1253,मैंने विक्रांत सर की एंकरिंग इतनी शानदार तथा इतनी हेल्पफुल स्पोर्ट्स तक यूट्यूब पर चलाते है। उनके जैसी स्पोर्ट्स या कहे क्रिकेट की न्यूज कोई नही देता है।,5
1254,"Best sports channel and app of india , discussions with our sports editor vikrant sir , rahul sir and great legends like sunil gavaskar sir , harbhajan ji , madan lal ji and many more Love it yaar ♥️♥️👌👌👌👌🔥🔥🔥🔥",5
1255,Very worst app taking lot of time to load UI also not so good Uninstall it,1
1256,Nyc,5
1257,Nice app,5
1258,Nice one Vikrant sir,5
1259,Best thing made,5
1260,Amazing,5
1261,Good Try By sports Tak team ! But need to Fix the Bugs while loading the app...it is taking so much time to load the content.,2
1262,"I watched sportstak since last two years daily, socially aaj ka ajenda .",5
1263,👌,5
1264,"Worst aap, generalist are soo trash always troll own captain .",1
1265,Oops!,1
1266,App is good but only the issue it's taking too long to open and loading slow,3
1267,Nice sports tak aap,5
1268,This is the best app!!,5
1269,🔥🔥🔥,5
1270,Very good app for sports lovers.,5
1271,Farji app 🤣😀 kuch b open nhi ho rha😐😏,1
1272,Awsome app,5
1273,Wow,5
1274,Not better,1
1275,This app is very good app 👌 for all sports news 👍,5
1276,👌👌,5
1277,Giving 5 stars... Only for vikki paaji and team ke liye 🙃 ( app needs improvement and make it smoothie and low data consumption like Crickbuzz),5
1278,Amazing feeling right now before start of ipl,5
1279,"It's Awesome, Everything regarding sports is in one place.",5
1280,Glorious app,5
1281,Kya bekar si app hai vikarnt sir kuch kam karo is aap pr fir bola karo aap download karne ke liye. totally wrong app,1
1282,App is not working,1
1283,Sport tak is very good app and channel,3
1284,Nothing is working on the app. Kalli Poorie is defaming her father's hard earned name and is also defaming the name of journalists like Vikrant in the process. Is she able to look in the eyes of her children Jehanvir and Jianoor after compromising her morals and journalistic principles?,1
1285,Best of Luck 👍👍,5
1286,V nice bikrant sir,5
1287,Good app,5
1288,"App khulne k baad, koi bhi content show hi nhi ho rha. Totally blank aa rha.",2
1289,"फालतू application, एक ही व्हिडिओ नाही, बातमी दाखवत नाही . .. काय मग मोबाईल डेटा खाणार का आता..",1
1290,"Am going to uninstall this, don't try to copy cricbuzz cuz cricbuzz always no 1 app for cricket lovers. Disgusting app forever SPORTS TAK.",1
1291,So good,5
1292,Very nice,5
1293,Great app best app for sports lover cricket lover ☺️,5
1294,Not showing any content or results of match... Only buffering,1
1295,NICE 👍🏻,5
1296,very slow app,2
1297,@Vikrant Sir kam nhi kar raha hai app,1
1298,Revolutionary Excellent,5
1299,Awesome app!!!!!just WOW,5
1300,Great app Very very good,5
1301,Worst app guys. Lot of glitches. These bastards have an agenda against Virat Kohli. That makes me to hate this app even more.,1
1302,Verry slow,1
1303,Lovely sport tak family,5
1304,Vikrant sir meri to app main language slect krne k nxt kuch nhi aa rha,4
1305,What a wonderful Aap which available all things related to sports,5
1306,Great app for sports lover 👍,5
1307,❤❤❤❤,5
1308,Nice,5
1309,Trash !!,1
1310,Top class,5
1311,Good 👍,5
1312,Very good app,5
1313,sir you are bast,5
1314,Love sports tak everywhere,5
1315,Very best wishes sir and love you sport tak,5
1316,Awesome 🔥,5
1317,Screen is blank plese ise thik kare,1
1318,Execillent,5
1319,"Very slow loading,please not download this very bad app,",1
1320,"The app buttons lag , and its to slow in scrolling",2
1321,Totaly bakhwas so many loading,1
1322,VERY GOOD BUT THERE IS A HUGE PROBLEM THAT HOME PAGE IS NOT LOADING AND GEETING SHOWN... THERE IS NO PROBLEM WITH MY MOBILE I AM USING SAMSUNG A32 LATEST MODEL,4
1323,Doesn't work in Europe,1
1324,Didn't work properly,1
1325,"Very good aap, all sports in one app Very good sports tak team",3
1326,Really surprised her,5
1327,Best app for cricket... Love it,5
1328,Not running,1
1329,Have you tested this application with Samsung s20Fe?? because only black screen showing at my end.,1
1330,"Top app guys, absolutely loved it. You guys do a fabulous job",5
1331,App sucks ..... lags a lot .... Home page is not opening,1
1332,Family growing,5
1333,This is very bad app... This appos bot working and open...when is it open then is black screen....dont download this app and waste of time....😪😪,1
1334,GOOD AAP,5
1335,Superb,4
1336,Totally waste app,1
1337,Good,5
1338,Does not work,1
1339,No content loading.,2
1340,Vikrant Sir as suggest by you we Download the app but after open app screen display only black and display messge no content available,1
1341,Nice work sports news very good apk,5
1342,Love you Sports Tak I am Sports Tak member in 2018,5
1343,Super,5
1344,Good to see this kind of app,5
1345,Very good aap,5
1346,amazing step ❣️❣️❣️❣️,5
1347,Bhaiyo ye app bilkul bakwas app h... Vikrant tumse ye umid nhi tha,1
1348,App is crashed please do something,3
1349,Very good app,5
1350,"I am totally disappointed with this app , it's nothing in the app ,all its shows is black screen ,need to improve the app immediately otherwise it will become one of the worst app",1
1351,"Bad App,Not working",1
1352,Bakchod,5
1353,Supr app,5
1354,Worst app,1
1355,App not working at all. I am not able to see any thing and its showing oops,1
1356,Buggy app not refresh content,1
1357,"Good App, I Request to All of you Guys , Please Support Sports Tak & Also Download Sports Tak",5
1358,Very nice app ❤️❤️❤️,5
1359,Overall best apps,4
1360,There is no content and works quiet slowly and buffers a lot,1
1361,Aplication open nahi horahs,5
1362,Right now there is nothing open in this app,4
1363,Superb App,5
1364,Great work to sport Tak team love u all super app sports Tak app 🥰🥰🥰🥰,5
1365,Very nice app,5
1366,Not working. Downloaded it twice had huge expectations but seems to be half baked.,1
1367,Super,5
1368,Number one sports tak channel India mein or aap bi Hoga ❤️❤️🔥💥,5
1369,I really liked this app,4
1370,"Home screen is blank, no data All tabs are blank Disappointing",2
1371,Poor,1
1372,Very nice,5
1373,Nhi chl rha app,5
1374,"Worst experience, not loading",1
1375,Fantastic cricket🏏 Aap 👌,5
1376,Awesome 😎,5
1377,Not working.....only searching,1
1378,Sir mere phone me toh bas black screen dikha raha hai ..... I tried to uninstall and reinstall several times... But again same issue in android phone...... And you tell what is the issue ...,2
1379,Fantastic app sports tak,5
1380,Awesome and interesting app related to sports,5
1381,Really bad. Gets stuck.,1
1382,not working at all right now,5
1383,Worst app,1
1384,Cheap copy of cribuzz and it's not working,1
1385,Good,5
1386,Very good sports Tak,4
1387,good,5
1388,Best sports app of the world,5
1389,Good app,4
1390,I am from Qatar and this app only works in India😒,1
1391,Very good app for cricket. Get all news of sports specialy cricket.,5
1392,Awesome App,5
1393,Congratulations vikrant sir😍🇮🇳🏆,5
1394,Good 👍,5
1395,Just getting a blank screen. Repeatedly asking choose English or Hindi . Has it crashed or what . It is not loading properly.,2
1396,Outstanding,5
1397,Amazing app for all sports update 👌,5
1398,"I use sports tak from Starting time , every time Questions & Answer time,Ajenda, Vikrant Sir to know when Aajtak news like &also like Anil ji,Rashika Mam, Rahul ji Gagan Sir , all sports tak family like so much",5
1399,Good app,5
1400,Good App,5
1401,It's a rediculas app waste of download I'm gonna in unstall this app,1
1402,Fantastic,5
1403,Good app,5
1404,"Nice initiative by the team, it will strengthen our bond and will take our relationship to a great height.......#SportsTak #One Family",5
1405,Fantastic app,5
1406,Bakwas hai,1
1407,Just awesome Vicky paji,5
1408,Apperciatable 👏👏👏,5
1409,Application is not working please work out of app,1
1410,Black screen,1
1411,A very bad app.... Playstore does't give option to give stars in minus otherwise I would have given that... Don't download total waste,1
1412,Not working....,1
1413,App is just showing black screen and buffering,1
1414,App is not working blank app aptions are not opening,1
1415,Very bad app Totally blank app..... Where is news... Videos......,1
1416,Not working,1
1417,Sports tak is Best.,5
