,content,score
162,Yahan,5
163,Nice App,4
164,Download 2 min ago. Now I'm deleting this app. Bs promotion accha ho rha iska baki load hone me hi time lg ja rha,1
165,Very slow... In 2021 you can't have apps this slow... The competitors are way too good...,1
166,Thanks a lot. Specially sir #vikrantgupta,5
167,Sunil Jee,5
168,Shandar jabrdast jindabad,4
169,Jabarjast,5
170,Very Very Poor Quality Everytime Update to Update. Vikrant Gupta Sr look hr.. I'm uninstall,1
171,Give news of all sports.,5
172,Vikrant sir rahul Rawat sir..bes,5
173,Sports yarri,1
174,"Very lagging issue in this app. Need lot of improvement like page processing , play video etc. Poora phone hang ho rha hai.",1
175,Worst,1
176,In you tube talks they are taking about to upload match highlight but where it is? #indvsnz ?,1
177,Needs improve,1
178,App responds very slow. Lots of internet wastage,2
179,Very very bad,1
180,Very very good,5
181,Very Good App 👌 Up To Date Daily NEWS Update For All Sports 💯 I Am Used Daily This App 👌 Thanks You SportTak 😍,5
182,सबसे घटिया अप्प है ये ।,1
183,Achha hai,5
184,Not bad,4
185,Very best,5
186,"Bed sports app ,only buffering",1
187,There is huge need of improvement. It takes hell lot of time to load and uses excessive amount of Internet. Vikrant Gupta sir look by exaggerating things the app is not going to be best in business you need to improve its performance.,1
188,Great,5
189,"Very slow app, and uses to much data",1
190,Average,3
191,Good,5
192,Very useful app,4
193,Ok,4
194,very nice,5
195,Good,5
196,Please been more information about other sports.,4
197,Best,5
198,Farzi app no ashes highlights no big bash highlights it's just an app full of lies. I expected this still downloaded it just to see I was right.,1
199,Nice,3
200,Worst app there are only one video highlight of BBL and also match score is not seen at home page like cricbuzz and its commentary is also not satisfactory,1
201,Good,4
202,Nice,5
203,Layout is not better. Font icons color etc.,2
204,No Highlights. No background play.,1
205,Awesome,4
206,Lets see in coming months,4
207,Amazing App with Good features,5
208,Kindly change app from Pakistani colour indian brand banao,5
209,Super,5
210,Amazing Apps,5
211,Very good aap,5
212,Exceptional!!,5
213,Gud,1
214,Very bad,1
215,Good,5
216,This,5
217,Very good app All sports update in this app nice to see videos in this app,5
218,I love you 💕💛💛,5
219,Very good,5
220,Good,5
221,gd,5
222,Great Achivment by sports tak team,5
223,Good,5
224,Very bad,1
225,Very good,5
226,Top class app,5
227,Sir very disappointed.....i saw no updates regarding any Pakistan match ..as.netural app it should cover all sports news.....not expecting this.....,1
228,Great app for interactive sports analysis.,5
229,Nice... Awesome app... Only for vikrant sir.,5
230,"Need improvement , fix the issues",5
231,Poor 🥴,1
232,Love vikrant gupta,5
233,Shandar app he,5
234,It's fabulous,4
235,Bahut smooth nhi hai. Lag bahut ho raha hai. Ak section se dusre section par Jane me bahut time leta hai( quick response) nhi krta hai. Ye app hai to us par YouTube video nhi honi chaye i think. Whole summary is app developer ko kuch nhi Ata hai. Uski knowledge waste ho gayi One word= bekar app Please don't use...,1
236,Good thik thik ok ji,5
237,Not satisfied 😥,1
238,Super,5
239,Very very nice sports Tak app,5
240,Sports tak is zero in front of legendary app cricbuzz 🦾🦾,1
241,Sports tak fan should download the app must,5
242,Hh,5
243,Nice app,3
244,This aap a very good.,5
245,Where is the highlights section in the app? Also the app runs very slow when scrolling. You should upload highlights of the matches on the match day,2
246,It's good. But improvement requires . Good luck vikrant sir,4
247,😍👌❣️,5
248,I can not share my experence through words,5
249,Good app good luck,5
250,Bdia,5
251,Nice👍,4
252,I use this app only for Rahul Rabat sir,5
253,Much Better App ........❤❤❤❤❤❤❤,5
254,Fantastic app,5
255,Buffers alot,4
256,आप का यह एप्प नेट ज्यादा खाता हैं।और आपके हाउजेट पर टीम बनाते समय विनिग प्राईज दिखाया कीछ जाता हैं और मैच चालू होने के बाद और कुछ (प्राईज कम कर )दिया जाता हैं। क्यों,1
257,Very good,4
258,Very nice,5
259,Not happy with this aap. 1. Lookwise 2.taking time to loud. 3. Vedio not play smothly.,1
260,Good experience,5
261,Good,5
262,Ok,5
263,Edyt,2
264,Good,4
265,Only due to Vikrant Gupta,5
266,very helpful app,1
267,This app is very good . But you should add badminton hockey etc. Other sports also there is only cricket and football. And I am also a regular viewer of sports tak in sports tak there are live chats like agenda q/a session also upload those videos the app,5
268,Bakwas,1
269,This app vary bad oprating app,1
270,Nice sports tak,5
271,Excellent,5
272,Ek no,5
273,Fantastic. Superb.,5
274,Good,4
275,Good,5
